iter	Passed	Remaining
0	3	307
1	6	266
2	8	251
3	11	240
4	13	232
5	16	229
6	19	232
7	22	232
8	25	229
9	28	226
10	31	223
11	34	223
12	37	221
13	40	219
14	43	219
15	47	217
16	50	216
17	53	214
18	56	211
19	59	208
20	62	206
21	66	205
22	69	203
23	73	201
24	76	199
25	80	197
26	83	195
27	87	193
28	91	191
29	94	188
30	98	187
31	102	184
32	105	182
33	108	178
34	111	175
35	115	172
36	118	169
37	122	167
38	125	164
39	129	161
40	132	158
41	136	155
42	139	152
43	142	148
44	145	145
45	148	141
46	151	138
47	155	135
48	158	132
49	161	129
50	164	126
51	167	122
52	170	119
53	173	115
54	177	112
55	180	109
56	183	106
57	186	102
58	189	99
59	192	96
60	195	93
61	198	89
62	201	86
63	204	83
64	207	79
65	211	76
66	214	73
67	217	70
68	220	67
69	224	64
70	227	60
71	230	57
72	234	54
73	237	51
74	241	48
75	245	45
76	248	41
77	251	38
78	255	35
79	258	32
80	262	29
81	265	25
82	268	22
83	271	19
84	274	16
85	277	12
86	280	9
87	283	6
88	286	3
89	289	0
